Unnamed: 0_x,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,tv_name,State Name,sd_name,d_name,Unnamed: 0_y,StateName,DistrictName,BlockName,VillageName,Contaminents,shrid2,elevation_mean,elevation_median,elevation_percentile_5,elevation_percentile_25,elevation_min,elevation_max,elevation_num_cells,elevation_std
617225,29,568,5519,608284,Honnetalu,Karnataka,Tirthahalli,Shimoga,714,KARNATAKA,SHIMOGA,TIRTHAHALLI,HONNATHALU,"Fluoride : 0.500, Chloride : 275.000, Nitrate : 65.000, Hardness : 300.000",11-29-568-05519-608284,661.8235701563427,651.0,627.0,638.0,619.0,901.0,10106,42.222782369686094
617230,29,568,5519,608289,Changaru,Karnataka,Tirthahalli,Shimoga,710,KARNATAKA,SHIMOGA,TIRTHAHALLI,CHANGARU,"Fluoride : 0.500, Chloride : 450.000, Nitrate : 55.000, Hardness : 450.000",11-29-568-05519-608289,678.3748317631225,649.0,622.0,634.0,615.0,977.0,5944,69.78613609103733
617230,29,568,5519,608289,Changaru,Karnataka,Tirthahalli,Shimoga,711,KARNATAKA,SHIMOGA,TIRTHAHALLI,CHANGARU,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 65.000, Hardness : 450.000",11-29-568-05519-608289,678.3748317631225,649.0,622.0,634.0,615.0,977.0,5944,69.78613609103733
617235,29,568,5519,608294,Muthuvalli,Karnataka,Tirthahalli,Shimoga,833,KARNATAKA,SHIMOGA,TIRTHAHALLI,MUTTUVALLI,"Chloride : 350.000, Nitrate : 75.000, Hardness : 450.000",11-29-568-05519-608294,655.6760035288928,657.0,633.0,646.0,625.0,703.0,4534,13.345722301393328
617235,29,568,5519,608294,Muthuvalli,Karnataka,Tirthahalli,Shimoga,834,KARNATAKA,SHIMOGA,TIRTHAHALLI,MUTTUVALLI,"Fluoride : 0.500, Chloride : 300.000, Nitrate : 50.000, Hardness : 350.000",11-29-568-05519-608294,655.6760035288928,657.0,633.0,646.0,625.0,703.0,4534,13.345722301393328
617235,29,568,5519,608294,Muthuvalli,Karnataka,Tirthahalli,Shimoga,835,KARNATAKA,SHIMOGA,TIRTHAHALLI,MUTTUVALLI,"Fluoride : 0.500, Iron : 0.500, Chloride : 350.000, Nitrate : 65.000, Hardness : 400.000",11-29-568-05519-608294,655.6760035288928,657.0,633.0,646.0,625.0,703.0,4534,13.345722301393328
617236,29,568,5519,608295,Thirthamuthur,Karnataka,Tirthahalli,Shimoga,836,KARNATAKA,SHIMOGA,TIRTHAHALLI,THIRTHAMATTUR,"Iron : 0.400, Chloride : 300.000, Nitrate : 60.000, Hardness : 360.000",11-29-568-05519-608295,636.7158935879945,636.0,618.0,625.0,609.0,674.0,5864,13.405056713192286
617236,29,568,5519,608295,Thirthamuthur,Karnataka,Tirthahalli,Shimoga,837,KARNATAKA,SHIMOGA,TIRTHAHALLI,THIRTHAMATTUR,"Fluoride : 0.500, Iron : 0.500, Chloride : 250.000, Nitrate : 65.000, Hardness : 450.000",11-29-568-05519-608295,636.7158935879945,636.0,618.0,625.0,609.0,674.0,5864,13.405056713192286
617236,29,568,5519,608295,Thirthamuthur,Karnataka,Tirthahalli,Shimoga,838,KARNATAKA,SHIMOGA,TIRTHAHALLI,THIRTHAMATTUR,"Fluoride : 0.500, Iron : 0.500, Chloride : 500.000, Nitrate : 65.000, Hardness : 500.000",11-29-568-05519-608295,636.7158935879945,636.0,618.0,625.0,609.0,674.0,5864,13.405056713192286
617236,29,568,5519,608295,Thirthamuthur,Karnataka,Tirthahalli,Shimoga,839,KARNATAKA,SHIMOGA,TIRTHAHALLI,THIRTHAMATTUR,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 75.000, Hardness : 350.000",11-29-568-05519-608295,636.7158935879945,636.0,618.0,625.0,609.0,674.0,5864,13.405056713192286
617237,29,568,5519,608296,Chikkaluru,Karnataka,Tirthahalli,Shimoga,831,KARNATAKA,SHIMOGA,TIRTHAHALLI,CHIKLUR,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 50.000, Hardness : 400.000",11-29-568-05519-608296,653.6139635968486,654.0,631.0,644.0,623.0,694.0,3681,13.678165618577957
617237,29,568,5519,608296,Chikkaluru,Karnataka,Tirthahalli,Shimoga,832,KARNATAKA,SHIMOGA,TIRTHAHALLI,CHIKLUR,"Fluoride : 0.500, Iron : 0.500, Chloride : 300.000, Nitrate : 50.000, Hardness : 300.000",11-29-568-05519-608296,653.6139635968486,654.0,631.0,644.0,623.0,694.0,3681,13.678165618577957
617239,29,568,5519,608298,Malalur,Karnataka,Tirthahalli,Shimoga,618,KARNATAKA,SHIMOGA,TIRTHAHALLI,MALALURU,"Fluoride : 0.500, Nitrate : 50.000, Calcium : 250.000, Hardness : 500.000",11-29-568-05519-608298,645.8953974895397,644.0,622.0,631.0,613.0,697.0,10994,17.07194512796755
617239,29,568,5519,608298,Malalur,Karnataka,Tirthahalli,Shimoga,619,KARNATAKA,SHIMOGA,TIRTHAHALLI,MALALURU,"Fluoride : 0.500, Iron : 0.500, Chloride : 250.000, Nitrate : 50.010, Hardness : 450.000",11-29-568-05519-608298,645.8953974895397,644.0,622.0,631.0,613.0,697.0,10994,17.07194512796755
617240,29,568,5519,608299,Kunda,Karnataka,Tirthahalli,Shimoga,715,KARNATAKA,SHIMOGA,TIRTHAHALLI,KUNDA,"Fluoride : 0.500, Chloride : 350.000, Nitrate : 55.000, Hardness : 450.000",11-29-568-05519-608299,643.3724380544509,638.0,620.0,626.0,612.0,780.0,6538,24.27732512750952
617240,29,568,5519,608299,Kunda,Karnataka,Tirthahalli,Shimoga,716,KARNATAKA,SHIMOGA,TIRTHAHALLI,KUNDA,"Fluoride : 0.500, Chloride : 450.000, Nitrate : 55.000, Hardness : 250.000",11-29-568-05519-608299,643.3724380544509,638.0,620.0,626.0,612.0,780.0,6538,24.27732512750952
617240,29,568,5519,608299,Kunda,Karnataka,Tirthahalli,Shimoga,717,KARNATAKA,SHIMOGA,TIRTHAHALLI,KUNDA,"Fluoride : 0.500, Chloride : 450.000, Nitrate : 65.000, Hardness : 450.000",11-29-568-05519-608299,643.3724380544509,638.0,620.0,626.0,612.0,780.0,6538,24.27732512750952
617241,29,568,5519,608300,Bidaragodu,Karnataka,Tirthahalli,Shimoga,637,KARNATAKA,SHIMOGA,TIRTHAHALLI,BIDARAGODU,"Fluoride : 0.500, Chloride : 550.000, Nitrate : 55.000, Hardness : 175.000",11-29-568-05519-608300,645.1993901875635,642.0,624.0,633.0,611.0,740.0,10823,17.44919293022514
617241,29,568,5519,608300,Bidaragodu,Karnataka,Tirthahalli,Shimoga,638,KARNATAKA,SHIMOGA,TIRTHAHALLI,BIDARAGODU,"Fluoride : 0.500, Chloride : 175.000, Nitrate : 50.000, Hardness : 450.000",11-29-568-05519-608300,645.1993901875635,642.0,624.0,633.0,611.0,740.0,10823,17.44919293022514
617241,29,568,5519,608300,Bidaragodu,Karnataka,Tirthahalli,Shimoga,639,KARNATAKA,SHIMOGA,TIRTHAHALLI,BIDARAGODU,"Fluoride : 0.500, Chloride : 350.000, Hardness : 350.000",11-29-568-05519-608300,645.1993901875635,642.0,624.0,633.0,611.0,740.0,10823,17.44919293022514
617241,29,568,5519,608300,Bidaragodu,Karnataka,Tirthahalli,Shimoga,640,KARNATAKA,SHIMOGA,TIRTHAHALLI,BIDARAGODU,"Fluoride : 0.500, Chloride : 450.000, Nitrate : 75.000, Hardness : 450.000",11-29-568-05519-608300,645.1993901875635,642.0,624.0,633.0,611.0,740.0,10823,17.44919293022514
620602,29,571,5538,611639,Galigekere,Karnataka,Gubbi,Tumkur,7,KARNATAKA,TUMKUR,GUBBI,GALIGEKERE,"Fluoride : 0.900, Iron : 0.300, Chloride : 48.000, Nitrate : 45.000, Hardness : 270.000",11-29-571-05538-611639,753.1144278606965,751.0,740.0,745.0,734.0,801.0,7437,11.100610831378118
